,Dimensión,Año,CCAA,Unidad Territorial,Tasa total,Dimension total,0-39,40-49,50-59,60-69,+70,Mujer,Hombre,Cerebro,Cervix,Colorectal,Esofago,Estómago,Glándulas salivares,Hígado,Hipofaringe,"Labio, cavidad oral",Laringe,Leucemia,Linfoma Hodgkin,Linfoma No-Hodgkin,Mama,Melanoma de piel,Mesotelioma,Mieloma Multiple,Nasofaringe,Orofaringe,Otros,Otros de piel,Ovario,Páncreas,Pene,Próstata,Pulmón,Riñón,Sarcoma Kaposi,Testículo,Tiroides,Utero,Vagina,Vejiga,Vesicula Biliar,Vulva
351,Prevalencia,2021,Extremadura,Cáceres,2134.05,8313,234,433,1229,2011,4404,3534,4778,118,50,1200,26,108,18,62,18,147,92,162,42,244,1227,179,7,84,13,34,198,1048,90,57,17,1376,345,241,8,36,163,234,4,609,7,30
352,Prevalencia,2021,Galicia,"Coruña, A",2181.55,24436,655,1446,3253,5592,13488,10820,13616,348,154,3516,76,318,54,180,52,429,259,474,120,718,3768,529,20,248,37,97,579,3064,278,168,49,3960,997,700,25,103,490,722,12,1758,22,94
353,Prevalencia,2021,Galicia,Lugo,2502.82,8159,179,372,964,1768,4874,3423,4736,108,44,1200,24,108,18,59,16,144,85,156,34,229,1149,169,6,83,11,31,190,1159,84,54,17,1355,324,229,8,28,142,224,4,614,7,30
354,Prevalencia,2021,Galicia,Ourense,2595.01,7920,160,340,866,1640,4912,3339,4580,103,42,1171,23,105,17,57,15,140,81,151,32,221,1110,162,6,82,10,29,184,1142,81,53,16,1318,312,220,8,26,133,220,3,597,7,29
355,Prevalencia,2021,Galicia,Pontevedra,2044.97,19310,572,1255,2695,4515,10271,8633,10676,283,127,2755,61,249,43,143,42,338,207,378,102,577,3042,427,16,195,31,78,462,2319,225,133,38,3106,795,559,20,90,407,575,9,1369,17,74
356,Prevalencia,2021,"Madrid, Comunidad de",Madrid,1702.21,114920,4780,8979,18720,26974,55465,53642,61277,1815,880,15956,365,1454,263,858,262,1987,1234,2324,744,3572,19470,2704,97,1131,206,476,2840,12644,1448,796,221,17495,4740,3375,128,685,2799,3535,59,7782,98,461
357,Prevalencia,2021,Melilla,Melilla,1231.08,1061,67,90,211,313,378,475,586,19,8,142,3,13,2,8,2,18,12,23,9,35,178,26,0,10,2,5,28,90,13,7,2,167,47,33,1,8,29,30,0,70,0,3
358,Prevalencia,2021,"Murcia, Región de",Murcia,1582.7,24033,1081,1921,4116,5832,11080,10699,13333,389,180,3321,79,303,55,185,58,417,269,498,167,757,3923,570,20,235,46,104,607,2555,292,166,48,3785,1012,724,28,160,590,703,11,1648,19,91
359,Prevalencia,2021,"Navarra, Comunidad Foral de",Navarra,1847.87,12224,425,820,1859,2902,6216,5302,6921,184,81,1730,39,157,27,93,28,214,136,245,71,369,1889,274,10,122,21,51,299,1420,140,84,25,2001,511,360,13,64,266,350,5,870,10,45
360,Prevalencia,2021,País Vasco,Araba/Álava,1953.83,6518,207,424,963,1564,3357,2826,3692,97,42,925,21,84,14,49,14,114,72,129,35,196,1008,144,5,65,10,27,157,759,74,45,13,1075,273,191,7,31,139,189,3,466,5,24
361,Prevalencia,2021,País Vasco,Bizkaia,2067.35,23864,681,1437,3460,5791,12492,10702,13161,350,154,3416,75,309,54,179,53,420,259,467,123,713,3755,524,20,242,38,99,571,2855,278,166,47,3832,990,693,25,106,497,720,12,1695,21,92
362,Prevalencia,2021,País Vasco,Gipuzkoa,2015.79,14635,431,889,2085,3503,7724,6426,8208,215,93,2093,47,189,33,110,33,257,160,289,77,437,2258,320,12,148,23,61,352,1734,167,101,29,2405,611,427,15,67,303,432,7,1048,12,55
363,Prevalencia,2021,"Rioja, La","Rioja, La",1950.0,6236,199,402,912,1487,3233,2687,3548,92,40,888,20,80,14,47,14,109,68,123,34,186,950,138,5,62,10,26,151,750,70,42,12,1024,259,182,6,30,131,177,3,448,5,23
364,Prevalencia,2022,Andalucía,Almería,1554.83,11494,540,930,1988,3007,5027,5029,6465,189,86,1578,39,144,26,90,28,199,133,238,82,365,1865,274,10,112,22,52,290,1146,139,80,23,1860,496,350,13,82,287,334,5,789,9,42
365,Prevalencia,2022,Andalucía,Cádiz,1718.68,21424,831,1583,3709,5671,9628,9550,11874,341,157,2970,72,271,49,166,52,372,247,431,136,669,3520,496,18,212,39,97,526,2156,263,151,42,3483,930,646,23,123,515,647,10,1480,17,80
366,Prevalencia,2022,Andalucía,Córdoba,1883.11,14536,498,884,2321,3676,7156,6465,8071,220,97,2058,47,186,33,110,33,255,161,289,84,441,2300,326,12,146,24,62,353,1667,171,101,29,2336,612,427,15,74,318,434,7,1026,12,55
367,Prevalencia,2022,Andalucía,Granada,1783.67,16436,619,1103,2710,4184,7818,7280,9156,254,115,2303,53,209,37,125,38,286,185,329,101,505,2634,375,14,163,29,71,402,1800,196,114,32,2651,698,488,18,92,377,490,8,1151,13,61
368,Prevalencia,2022,Andalucía,Huelva,1702.58,8992,364,693,1520,2240,4174,3992,4999,142,66,1247,29,114,20,69,21,156,102,181,58,280,1466,209,7,88,16,39,221,942,109,62,17,1450,383,269,10,54,216,264,4,621,7,34
369,Prevalencia,2022,Andalucía,Jaén,1885.69,11755,404,688,1903,3008,5749,5163,6591,177,77,1668,38,151,27,89,27,206,131,234,68,356,1833,263,10,118,20,50,286,1362,136,81,23,1895,496,346,12,61,255,347,5,835,10,44
370,Prevalencia,2022,Andalucía,Málaga,1746.79,29980,1170,2214,4998,7603,13994,13246,16733,471,219,4160,99,379,68,230,72,518,341,602,188,929,4878,691,26,296,54,132,732,3106,365,210,60,4904,1289,896,33,170,714,895,14,2087,25,111
